MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date,TotalSentiments
2010-07,195.0,501.0,131.0,Neutral,23.579201934703747,60.58041112454655,15.840386940749699,2010-07,827.0
2010-08,209.0,389.0,130.0,Neutral,28.708791208791208,53.434065934065934,17.857142857142858,2010-08,728.0
2010-09,201.0,490.0,111.0,Neutral,25.06234413965087,61.09725685785536,13.840399002493767,2010-09,802.0
2010-10,193.0,501.0,124.0,Neutral,23.594132029339853,61.24694376528117,15.158924205378973,2010-10,818.0
2010-11,193.0,509.0,133.0,Neutral,23.11377245508982,60.95808383233533,15.92814371257485,2010-11,835.0
2010-12,169.0,442.0,101.0,Neutral,23.735955056179776,62.07865168539326,14.185393258426968,2010-12,712.0
2011-01,208.0,516.0,148.0,Neutral,23.853211009174313,59.174311926605505,16.972477064220186,2011-01,872.0
2011-02,169.0,471.0,108.0,Neutral,22.593582887700535,62.96791443850267,14.43850267379679,2011-02,748.0
2011-03,182.0,498.0,104.0,Neutral,23.214285714285715,63.52040816326531,13.26530612244898,2011-03,784.0
2011-04,158.0,439.0,109.0,Neutral,22.379603399433428,62.18130311614731,15.439093484419264,2011-04,706.0
2011-05,172.0,468.0,103.0,Neutral,23.149394347240914,62.98788694481831,13.862718707940779,2011-05,743.0
2011-06,207.0,531.0,90.0,Neutral,25.0,64.13043478260869,10.869565217391305,2011-06,828.0
2011-07,247.0,482.0,95.0,Neutral,29.975728155339805,58.495145631067956,11.529126213592233,2011-07,824.0
2011-08,254.0,370.0,84.0,Neutral,35.87570621468927,52.259887005649716,11.864406779661017,2011-08,708.0
2011-09,246.0,478.0,93.0,Neutral,30.110159118727047,58.50673194614443,11.383108935128519,2011-09,817.0
2011-10,204.0,535.0,107.0,Neutral,24.113475177304963,63.23877068557919,12.647754137115838,2011-10,846.0
2011-11,249.0,518.0,88.0,Neutral,29.122807017543863,60.58479532163743,10.292397660818715,2011-11,855.0
2011-12,179.0,450.0,84.0,Neutral,25.105189340813467,63.11360448807854,11.781206171107995,2011-12,713.0
2012-01,195.0,455.0,100.0,Neutral,26.0,60.66666666666667,13.333333333333334,2012-01,750.0
2012-02,160.0,436.0,106.0,Neutral,22.79202279202279,62.10826210826211,15.0997150997151,2012-02,702.0
2012-03,180.0,482.0,111.0,Neutral,23.285899094437255,62.35446313065977,14.359637774902975,2012-03,773.0
2012-04,142.0,401.0,85.0,Neutral,22.611464968152866,63.853503184713375,13.535031847133757,2012-04,628.0
2012-05,193.0,450.0,92.0,Neutral,26.258503401360546,61.224489795918366,12.51700680272109,2012-05,735.0
2012-06,200.0,490.0,69.0,Neutral,26.35046113306983,64.55862977602108,9.090909090909092,2012-06,759.0
2012-07,203.0,491.0,78.0,Neutral,26.295336787564764,63.601036269430054,10.103626943005182,2012-07,772.0
2012-08,158.0,371.0,77.0,Neutral,26.072607260726073,61.221122112211226,12.706270627062707,2012-08,606.0
2012-09,154.0,383.0,75.0,Neutral,25.163398692810457,62.58169934640523,12.254901960784313,2012-09,612.0
2012-10,168.0,456.0,93.0,Neutral,23.430962343096233,63.59832635983263,12.97071129707113,2012-10,717.0
2012-11,174.0,467.0,91.0,Neutral,23.770491803278688,63.79781420765027,12.431693989071038,2012-11,732.0
2012-12,110.0,385.0,61.0,Neutral,19.784172661870503,69.24460431654677,10.971223021582734,2012-12,556.0
2013-01,191.0,440.0,101.0,Neutral,26.09289617486339,60.10928961748634,13.797814207650273,2013-01,732.0
2013-02,129.0,460.0,78.0,Neutral,19.34032983508246,68.96551724137932,11.694152923538232,2013-02,667.0
2013-03,129.0,445.0,99.0,Neutral,19.167904903417536,66.12184249628528,14.710252600297178,2013-03,673.0
2013-04,126.0,410.0,81.0,Neutral,20.42139384116694,66.45056726094003,13.12803889789303,2013-04,617.0
2013-05,136.0,447.0,108.0,Neutral,19.68162083936324,64.6888567293777,15.629522431259044,2013-05,691.0
2013-06,148.0,430.0,85.0,Neutral,22.322775263951737,64.85671191553544,12.82051282051282,2013-06,663.0
2013-07,106.0,473.0,131.0,Neutral,14.929577464788732,66.61971830985915,18.450704225352112,2013-07,710.0
2013-08,98.0,402.0,106.0,Neutral,16.17161716171617,66.33663366336634,17.491749174917494,2013-08,606.0
