MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date
2011-05,172,468,103,Neutral,23.149394347240914,62.98788694481831,13.862718707940779,2011-05
2011-06,207,531,90,Neutral,25.0,64.13043478260869,10.869565217391305,2011-06
2011-07,247,482,95,Neutral,29.975728155339805,58.495145631067956,11.529126213592233,2011-07
2011-08,254,370,84,Neutral,35.87570621468927,52.259887005649716,11.864406779661017,2011-08
2011-09,246,478,93,Neutral,30.110159118727047,58.50673194614443,11.383108935128519,2011-09
2011-10,204,535,107,Neutral,24.113475177304963,63.23877068557919,12.647754137115838,2011-10
2011-11,249,518,88,Neutral,29.122807017543863,60.58479532163743,10.292397660818715,2011-11
2011-12,179,450,84,Neutral,25.105189340813467,63.11360448807854,11.781206171107995,2011-12
2012-01,195,455,100,Neutral,26.0,60.66666666666667,13.333333333333334,2012-01
2012-02,160,436,106,Neutral,22.79202279202279,62.10826210826211,15.0997150997151,2012-02
2012-03,180,482,111,Neutral,23.285899094437255,62.35446313065977,14.359637774902975,2012-03
2012-04,142,401,85,Neutral,22.611464968152866,63.853503184713375,13.535031847133757,2012-04
2012-05,193,450,92,Neutral,26.258503401360546,61.224489795918366,12.51700680272109,2012-05
2012-06,200,490,69,Neutral,26.35046113306983,64.55862977602108,9.090909090909092,2012-06
2012-07,203,491,78,Neutral,26.295336787564764,63.601036269430054,10.103626943005182,2012-07
2012-08,158,371,77,Neutral,26.072607260726073,61.221122112211226,12.706270627062707,2012-08
2012-09,154,383,75,Neutral,25.163398692810457,62.58169934640523,12.254901960784313,2012-09
2012-10,168,456,93,Neutral,23.430962343096233,63.59832635983263,12.97071129707113,2012-10
2012-11,174,467,91,Neutral,23.770491803278688,63.79781420765027,12.431693989071038,2012-11
2012-12,110,385,61,Neutral,19.784172661870503,69.24460431654677,10.971223021582734,2012-12
2013-01,191,440,101,Neutral,26.09289617486339,60.10928961748634,13.797814207650273,2013-01
2013-02,129,460,78,Neutral,19.34032983508246,68.96551724137932,11.694152923538232,2013-02
2013-03,129,445,99,Neutral,19.167904903417536,66.12184249628528,14.710252600297178,2013-03
2013-04,126,410,81,Neutral,20.42139384116694,66.45056726094003,13.12803889789303,2013-04
2013-05,136,447,108,Neutral,19.68162083936324,64.6888567293777,15.629522431259044,2013-05
2013-06,148,430,85,Neutral,22.322775263951737,64.85671191553544,12.82051282051282,2013-06
2013-07,106,473,131,Neutral,14.929577464788732,66.61971830985915,18.450704225352112,2013-07
2013-08,98,402,106,Neutral,16.17161716171617,66.33663366336634,17.491749174917494,2013-08
2013-09,110,455,125,Neutral,15.942028985507244,65.94202898550725,18.115942028985508,2013-09
2013-10,157,522,124,Neutral,19.551681195516814,65.00622665006227,15.442092154420923,2013-10
2013-11,166,504,127,Neutral,20.82810539523212,63.237139272271015,15.934755332496863,2013-11
2013-12,128,402,97,Neutral,20.414673046251995,64.11483253588517,15.47049441786284,2013-12
2014-01,158,458,153,Neutral,20.54616384915475,59.557867360208064,19.89596879063719,2014-01
2014-02,110,405,95,Neutral,18.0327868852459,66.39344262295081,15.573770491803279,2014-02
2014-03,116,472,84,Neutral,17.261904761904763,70.23809523809523,12.5,2014-03
2014-04,145,422,103,Neutral,21.641791044776117,62.98507462686567,15.37313432835821,2014-04
2014-05,145,473,95,Neutral,20.336605890603085,66.33941093969145,13.32398316970547,2014-05
2014-06,116,438,102,Neutral,17.682926829268293,66.76829268292683,15.548780487804878,2014-06
2014-07,135,441,130,Neutral,19.121813031161473,62.46458923512748,18.413597733711047,2014-07
2014-08,129,360,88,Neutral,22.357019064124785,62.391681109185434,15.251299826689774,2014-08
2014-09,112,380,78,Neutral,19.649122807017545,66.66666666666666,13.684210526315791,2014-09
2014-10,144,389,74,Neutral,23.72322899505766,64.08566721581549,12.191103789126853,2014-10
2014-11,117,393,81,Neutral,19.796954314720814,66.49746192893402,13.705583756345177,2014-11
2014-12,104,334,63,Neutral,20.758483033932134,66.66666666666666,12.574850299401197,2014-12
2015-01,135,370,74,Neutral,23.316062176165804,63.903281519861835,12.780656303972366,2015-01
2015-02,82,401,59,Neutral,15.129151291512915,73.98523985239852,10.885608856088561,2015-02
2015-03,84,428,72,Neutral,14.383561643835616,73.28767123287672,12.32876712328767,2015-03
2015-04,99,364,62,Neutral,18.857142857142858,69.33333333333334,11.80952380952381,2015-04
2015-05,104,362,82,Neutral,18.97810218978102,66.05839416058394,14.963503649635038,2015-05
2015-06,99,431,79,Neutral,16.25615763546798,70.77175697865353,12.97208538587849,2015-06
2015-07,101,427,52,Neutral,17.413793103448274,73.62068965517241,8.96551724137931,2015-07
2015-08,116,345,52,Neutral,22.612085769980506,67.2514619883041,10.1364522417154,2015-08
2015-09,118,364,62,Neutral,21.691176470588236,66.91176470588235,11.397058823529411,2015-09
2015-10,134,440,67,Neutral,20.904836193447736,68.64274570982839,10.452418096723868,2015-10
2015-11,135,393,64,Neutral,22.804054054054053,66.38513513513513,10.81081081081081,2015-11
2015-12,127,345,63,Neutral,23.738317757009344,64.48598130841121,11.775700934579438,2015-12
2016-01,181,375,84,Neutral,28.281250000000004,58.59375,13.125,2016-01
2016-02,149,388,53,Neutral,25.254237288135595,65.76271186440678,8.983050847457626,2016-02
2016-03,127,398,60,Neutral,21.70940170940171,68.03418803418803,10.256410256410255,2016-03
2016-04,124,422,64,Neutral,20.327868852459016,69.18032786885246,10.491803278688524,2016-04
2016-05,122,412,63,Neutral,20.435510887772192,69.01172529313233,10.552763819095476,2016-05
2016-06,118,398,62,Neutral,20.415224913494807,68.85813148788927,10.726643598615917,2016-06
2016-07,131,345,53,Neutral,24.763705103969755,65.21739130434783,10.01890359168242,2016-07
2016-08,103,352,48,Neutral,20.47713717693837,69.98011928429423,9.542743538767395,2016-08
2016-09,128,375,53,Neutral,23.021582733812952,67.44604316546763,9.532374100719425,2016-09
2016-10,138,387,55,Neutral,23.79310344827586,66.72413793103448,9.482758620689655,2016-10
2016-11,103,422,67,Neutral,17.39864864864865,71.28378378378379,11.317567567567567,2016-11
2016-12,90,345,62,Neutral,18.10865191146881,69.41649899396378,12.474849094567404,2016-12
2017-01,98,307,48,Neutral,21.63355408388521,67.77041942604856,10.596026490066226,2017-01
2017-02,68,265,47,Neutral,17.894736842105264,69.73684210526315,12.368421052631579,2017-02
2017-03,62,331,33,Neutral,14.553990610328638,77.69953051643192,7.746478873239436,2017-03
2017-04,80,275,36,Neutral,20.460358056265985,70.33248081841433,9.207161125319693,2017-04
2017-05,70,299,30,Neutral,17.543859649122805,74.93734335839599,7.518796992481203,2017-05
2017-06,67,243,22,Neutral,20.180722891566266,73.19277108433735,6.626506024096386,2017-06
2017-07,84,313,37,Neutral,19.35483870967742,72.11981566820278,8.525345622119817,2017-07
2017-08,95,236,35,Neutral,25.956284153005466,64.48087431693989,9.562841530054644,2017-08
2017-09,81,294,31,Neutral,19.950738916256157,72.41379310344827,7.635467980295567,2017-09
2017-10,81,312,26,Neutral,19.331742243436754,74.46300715990454,6.205250596658711,2017-10
2017-11,79,254,29,Neutral,21.823204419889503,70.1657458563536,8.011049723756907,2017-11
2017-12,56,218,39,Neutral,17.89137380191693,69.6485623003195,12.460063897763577,2017-12
2018-01,90,276,51,Neutral,21.58273381294964,66.18705035971223,12.23021582733813,2018-01
2018-02,83,267,35,Neutral,21.558441558441558,69.35064935064935,9.090909090909092,2018-02
2018-03,65,278,24,Neutral,17.71117166212534,75.74931880108991,6.539509536784741,2018-03
2018-04,85,247,32,Neutral,23.35164835164835,67.85714285714286,8.791208791208792,2018-04
2018-05,97,260,31,Neutral,25.0,67.0103092783505,7.989690721649484,2018-05
2018-06,97,271,29,Neutral,24.43324937027708,68.26196473551637,7.304785894206549,2018-06
2018-07,95,239,35,Neutral,25.745257452574528,64.76964769647697,9.48509485094851,2018-07
2018-08,84,232,27,Neutral,24.489795918367346,67.63848396501457,7.871720116618077,2018-08
2018-09,94,263,30,Neutral,24.289405684754524,67.95865633074936,7.751937984496124,2018-09
2018-10,116,279,18,Neutral,28.087167070217916,67.55447941888619,4.358353510895883,2018-10
2018-11,91,277,27,Neutral,23.037974683544306,70.12658227848101,6.8354430379746836,2018-11
2018-12,110,226,20,Neutral,30.89887640449438,63.48314606741573,5.617977528089887,2018-12
2019-01,116,256,29,Neutral,28.92768079800499,63.84039900249376,7.231920199501247,2019-01
2019-02,83,221,23,Neutral,25.382262996941897,67.58409785932722,7.033639143730887,2019-02
2019-03,86,266,21,Neutral,23.056300268096514,71.31367292225201,5.630026809651475,2019-03
2019-04,74,232,34,Neutral,21.764705882352942,68.23529411764706,10.0,2019-04
2019-05,94,269,25,Neutral,24.22680412371134,69.3298969072165,6.443298969072164,2019-05
2019-06,89,267,16,Neutral,23.9247311827957,71.7741935483871,4.301075268817205,2019-06
2019-07,109,257,14,Neutral,28.68421052631579,67.63157894736842,3.684210526315789,2019-07
2019-08,129,238,20,Neutral,33.33333333333333,61.49870801033591,5.167958656330749,2019-08
2019-09,102,280,22,Neutral,25.247524752475247,69.3069306930693,5.445544554455446,2019-09
2019-10,112,277,14,Neutral,27.791563275434246,68.73449131513648,3.4739454094292808,2019-10
2019-11,86,269,15,Neutral,23.243243243243246,72.70270270270271,4.054054054054054,2019-11
2019-12,78,240,36,Neutral,22.033898305084744,67.79661016949152,10.16949152542373,2019-12
2020-01,102,272,36,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-01
2020-02,98,231,27,Neutral,27.52808988764045,64.8876404494382,7.584269662921349,2020-02
2020-03,166,322,24,Neutral,32.421875,62.890625,4.6875,2020-03
2020-04,141,260,22,Neutral,33.33333333333333,61.46572104018912,5.200945626477541,2020-04
2020-05,135,299,18,Neutral,29.867256637168143,66.1504424778761,3.982300884955752,2020-05
2020-06,128,321,31,Neutral,26.666666666666668,66.875,6.458333333333334,2020-06
2020-07,110,298,42,Neutral,24.444444444444443,66.22222222222223,9.333333333333334,2020-07
2020-08,118,258,40,Neutral,28.365384615384613,62.019230769230774,9.615384615384617,2020-08
2020-09,102,272,36,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-09
2020-10,105,277,31,Neutral,25.423728813559322,67.07021791767555,7.506053268765134,2020-10
2020-11,82,267,51,Neutral,20.5,66.75,12.75,2020-11
2020-12,70,255,32,Neutral,19.607843137254903,71.42857142857143,8.96358543417367,2020-12
2021-01,93,246,57,Neutral,23.484848484848484,62.121212121212125,14.393939393939394,2021-01
2021-02,79,267,39,Neutral,20.51948051948052,69.35064935064935,10.129870129870131,2021-02
2021-03,89,290,53,Neutral,20.60185185185185,67.12962962962963,12.268518518518519,2021-03
2021-04,59,264,75,Neutral,14.824120603015075,66.33165829145729,18.84422110552764,2021-04
2021-05,72,266,65,Neutral,17.866004962779154,66.00496277915633,16.129032258064516,2021-05
2021-06,61,271,57,Neutral,15.681233933161954,69.66580976863753,14.652956298200515,2021-06
2021-07,86,245,60,Neutral,21.994884910485936,62.65984654731458,15.34526854219949,2021-07
2021-08,82,249,40,Neutral,22.10242587601078,67.11590296495957,10.781671159029651,2021-08
2021-09,131,262,38,Neutral,30.39443155452436,60.78886310904872,8.816705336426914,2021-09
2021-10,123,264,30,Neutral,29.496402877697843,63.30935251798561,7.194244604316546,2021-10
2021-11,85,274,37,Neutral,21.464646464646464,69.1919191919192,9.343434343434344,2021-11
2021-12,108,244,33,Neutral,28.05194805194805,63.37662337662338,8.571428571428571,2021-12
2022-01,89,270,45,Neutral,22.02970297029703,66.83168316831683,11.138613861386139,2022-01
2022-02,63,283,50,Neutral,15.909090909090908,71.46464646464646,12.626262626262626,2022-02
