number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout_rate,params_hidden1,params_hidden2,params_learning_rate,state
20,3.2803670677104053,2023-11-21 13:09:57.294719,2023-11-21 13:15:13.024472,0 days 00:05:15.729753,sigmoid,0.2921014347847349,141,61,2.390596902790169e-05,COMPLETE
43,3.292556307714447,2023-11-21 14:58:45.654089,2023-11-21 15:03:58.191428,0 days 00:05:12.537339,sigmoid,0.17810173729522566,138,77,2.3423845297440533e-05,COMPLETE
47,3.2948961953747666,2023-11-21 15:15:31.932775,2023-11-21 15:20:49.242663,0 days 00:05:17.309888,sigmoid,0.20715233126386912,152,89,1.6436878770021598e-05,COMPLETE
59,3.4560296785228912,2023-11-21 16:16:47.532605,2023-11-21 16:21:54.697137,0 days 00:05:07.164532,sigmoid,0.15058115899907193,120,70,2.7602095266501635e-05,COMPLETE
63,3.4655161563622787,2023-11-21 16:38:01.297764,2023-11-21 16:43:15.703286,0 days 00:05:14.405522,sigmoid,0.13073843278745392,123,72,2.1424074010834177e-05,COMPLETE
32,3.559635670685797,2023-11-21 14:14:15.905972,2023-11-21 14:19:32.100863,0 days 00:05:16.194891,sigmoid,0.24554102878195655,167,66,2.3172699422413318e-05,COMPLETE
67,3.565888216948264,2023-11-21 16:59:14.692120,2023-11-21 17:04:35.369673,0 days 00:05:20.677553,sigmoid,0.15110037284098304,133,67,2.0068632338638474e-05,COMPLETE
38,3.6293499050752747,2023-11-21 14:36:45.169577,2023-11-21 14:42:13.255697,0 days 00:05:28.086120,sigmoid,0.21113820846036083,182,59,2.8293150990247996e-05,COMPLETE
48,3.6684947147073093,2023-11-21 15:20:49.243431,2023-11-21 15:26:05.575828,0 days 00:05:16.332397,sigmoid,0.18415083205894833,129,63,3.553992387310037e-05,COMPLETE
14,3.6931263563239303,2023-11-21 12:38:09.920221,2023-11-21 12:43:23.180281,0 days 00:05:13.260060,sigmoid,0.118710227424283,114,75,3.201966129035298e-05,COMPLETE
25,3.833420544292598,2023-11-21 13:36:31.241504,2023-11-21 13:41:56.133840,0 days 00:05:24.892336,sigmoid,0.2331081853243766,119,63,4.071964029774477e-05,COMPLETE
15,3.8542111789354507,2023-11-21 12:43:23.181297,2023-11-21 12:48:35.691800,0 days 00:05:12.510503,sigmoid,0.10028304923304707,118,61,3.9360350365390166e-05,COMPLETE
36,3.9153562281924206,2023-11-21 14:30:37.283017,2023-11-21 14:35:46.145777,0 days 00:05:08.862760,sigmoid,0.14138227460157216,125,76,3.053870037824754e-05,COMPLETE
60,3.9312929365894744,2023-11-21 16:21:54.698197,2023-11-21 16:27:07.110041,0 days 00:05:12.411844,sigmoid,0.17077464166155973,127,61,3.942026447204859e-05,COMPLETE
28,3.9726919373579506,2023-11-21 13:52:21.085219,2023-11-21 13:57:58.531811,0 days 00:05:37.446592,sigmoid,0.14437090823745263,120,73,3.233223934008192e-05,COMPLETE
30,4.021462461753974,2023-11-21 14:03:15.153417,2023-11-21 14:08:42.193634,0 days 00:05:27.040217,sigmoid,0.3056753612160238,135,63,4.614853145794079e-05,COMPLETE
27,4.214463845561686,2023-11-21 13:47:10.915143,2023-11-21 13:52:21.084343,0 days 00:05:10.169200,sigmoid,0.18604261761468535,111,56,7.159167892797153e-05,COMPLETE
19,4.721736304965435,2023-11-21 13:04:34.800694,2023-11-21 13:09:57.293627,0 days 00:05:22.492933,sigmoid,0.2739493523722635,155,80,5.319225255614074e-05,COMPLETE
17,4.788899122350868,2023-11-21 12:53:51.491086,2023-11-21 12:59:09.620441,0 days 00:05:18.129355,sigmoid,0.1679618786773504,133,53,6.750860437355998e-05,COMPLETE
46,5.902317066007969,2023-11-21 15:14:26.577024,2023-11-21 15:15:31.931529,0 days 00:01:05.354505,tanh,0.2349118140429231,142,68,1.0458587314990179e-05,COMPLETE
4,6.083290125061572,2023-11-21 12:02:44.588170,2023-11-21 12:07:56.313884,0 days 00:05:11.725714,sigmoid,0.1649690031274046,127,86,0.00013449666845747932,COMPLETE
40,6.115310787989099,2023-11-21 14:47:25.896691,2023-11-21 14:48:23.080395,0 days 00:00:57.183704,tanh,0.23157477502277973,152,73,1.007704124399623e-05,COMPLETE
70,6.249449121729754,2023-11-21 17:15:18.130353,2023-11-21 17:16:15.995804,0 days 00:00:57.865451,tanh,0.24016050601098649,161,69,2.578645815934194e-05,COMPLETE
34,6.403633841065323,2023-11-21 14:24:34.299941,2023-11-21 14:25:26.513033,0 days 00:00:52.213092,tanh,0.2116054183704167,108,73,1.304039835938058e-05,COMPLETE
2,6.761544367703843,2023-11-21 11:56:50.338712,2023-11-21 12:01:49.247654,0 days 00:04:58.908942,sigmoid,0.13007179978528574,127,59,0.00022017324378587766,COMPLETE
37,7.397359179627571,2023-11-21 14:35:46.146587,2023-11-21 14:36:45.168455,0 days 00:00:59.021868,tanh,0.1592547472283525,170,83,1.72127868190615e-05,COMPLETE
57,7.446558950057169,2023-11-21 16:10:33.968113,2023-11-21 16:11:31.494968,0 days 00:00:57.526855,tanh,0.1971843305040163,104,100,1.9818708395678142e-05,COMPLETE
45,7.866731224616132,2023-11-21 15:09:10.411195,2023-11-21 15:14:26.576238,0 days 00:05:16.165043,sigmoid,0.16299804633681697,159,66,0.00014557193631237325,COMPLETE
5,8.230541468793026,2023-11-21 12:07:56.314715,2023-11-21 12:08:59.845552,0 days 00:01:03.530837,tanh,0.32681124318324695,176,51,0.008620113110999058,COMPLETE
9,8.553814971150619,2023-11-21 12:16:06.909581,2023-11-21 12:17:02.604815,0 days 00:00:55.695234,tanh,0.22342056197979693,186,93,0.00010098222985481566,COMPLETE
0,8.679000165949713,2023-11-21 11:50:41.301756,2023-11-21 11:55:52.907135,0 days 00:05:11.605379,sigmoid,0.36621387092651414,186,98,0.0010609211952740864,COMPLETE
3,9.662916595744573,2023-11-21 12:01:49.248264,2023-11-21 12:02:44.587091,0 days 00:00:55.338827,tanh,0.45910919722699883,163,89,0.0005455771286477347,COMPLETE
7,10.408799161956656,2023-11-21 12:14:14.961740,2023-11-21 12:15:10.584160,0 days 00:00:55.622420,tanh,0.1662963508657779,139,78,0.008615918141758485,COMPLETE
6,10.472833470789201,2023-11-21 12:08:59.846339,2023-11-21 12:14:14.961012,0 days 00:05:15.114673,sigmoid,0.35033416728334876,199,86,0.00031252369376190566,COMPLETE
8,11.182516537176374,2023-11-21 12:15:10.585391,2023-11-21 12:16:06.908708,0 days 00:00:56.323317,tanh,0.19964060590382215,148,97,0.00035540148673633834,COMPLETE
1,14.277630350082934,2023-11-21 11:55:52.907779,2023-11-21 11:56:50.338117,0 days 00:00:57.430338,tanh,0.3547974231805261,175,85,0.0015881656108523569,COMPLETE
